LE,Predicted LE,Error,Health_Expenditure,GDP_Per_Capita,Education,Unemployment
81.45121951,84.81258245098509,3.3613629409850887,0.5840572121938459,0.5223317966272679,0.5783566011847096,0.07888820332978867
78.87804878,83.11476707204557,4.236718292045566,0.29483669291221065,0.3227640325261801,0.6420754337581941,0.1933446465722559
81.45682927,74.65764156092698,6.799187709073024,0.35403157543438685,0.2890271094468796,0.598592956263277,0.13941198022397933
80.96341463,70.2092270079395,10.754187622060499,0.32932124287124265,0.2985681775757318,0.5570541380702558,0.1024861073381804
80.04146341,88.05738629136215,8.015922881362144,0.4033741905728485,0.5211695789687213,0.5931977247098795,0.11283971119517072
80.99756098,71.26265902494347,9.734901955056529,0.3417604784197776,0.32018036798636607,0.5527843270716682,0.10339568469889868
78.3902439,84.52613843170496,6.135894531704963,0.7795188462972117,0.40193606804694976,0.5888245728920048,0.24437852138177835
81.89756098,65.10587258489988,16.79168839510011,0.3417864104113321,0.2832142237611952,0.4896563222915935,0.13978445474336235
81.61243902,75.02140959141056,6.591029428589437,0.3697892963301541,0.2934294829437334,0.6038027863472097,0.1322540626006664
81.41463415,73.07424278267581,8.340391367324187,0.3963271549827983,0.29835059358800115,0.5267863052412542,0.2304000895215136
78.54146341,85.82390817075898,7.2824447607589775,0.805807080394788,0.4089379735661899,0.5943689219553431,0.25461336608144364
80.33170732,73.67184595417635,6.659861365823659,0.4229864081612959,0.3517353620868854,0.5419605764388985,0.1376899821458974
79.84146341,88.01967870640902,8.178215296409022,0.3797877417383341,0.5111987250656648,0.6013360309751361,0.10948207365075603
82.69756098,76.94073122504957,5.756829754950431,0.6507313083627709,0.4648663675115866,0.5130743674095103,0.11564403600330425
81.4804878,90.13405259018,8.653564790179999,0.4137068035513197,0.3217780912656328,0.701757035751215,0.2476632882587833
85.41707317,80.69794932274013,4.719123847259866,0.39879283861626985,0.4965116037846106,0.5137821900365492,0.13468322300367358
